outlet_id,outlet_name,outlet_type,territory_id,distributor_id,rep_id,city,tier,revenue_30d,orders_30d,avg_order_value_30d,revenue_previous_30d,orders_previous_30d,revenue_growth_30d,order_frequency_growth_30d,revenue_gap_vs_previous_30d,order_frequency_gap,last_order_date,days_since_last_order,active_skus_90d,category_count_90d,subcategory_count_90d,visits_30d,productive_visits_30d,avg_visit_duration_30d,productive_call_rate_30d,visits_per_week_30d,inventory_snapshots_90d,stockout_events_90d,avg_closing_stock_90d,stockout_rate_90d,current_month_revenue,revenue_target,target_achievement_pct,revenue_per_visit_30d,peer_group,peer_median_revenue_30d,revenue_index_vs_peer,revenue_growth_gap_vs_peer,inactive_30d_flag,declining_revenue_flag,high_stockout_flag,under_target_flag
1,Tiwari General Store,Supermarket,12,8,87,Guwahati,C,300.72,1.0,300.72,0.0,0.0,,,-300.72,-1.0,2025-12-30,1,8.0,4.0,7.0,2.0,1.0,14.5,0.5,0.4666666666666667,0.0,0.0,0.0,0.0,300.72,21845.63,1.3765682198224543,150.36,12_C,1525.54,0.19712364146466171,,0,0,0,1
2,Suresh Retail,Modern Trade,12,35,61,Guwahati,C,6649.34,3.0,2216.4466666666667,0.0,0.0,,,-6649.34,-3.0,2025-12-22,9,10.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6649.34,17483.71,38.031630586414444,0.0,12_C,1525.54,4.358679549536558,,0,0,0,1
3,Krishnamurthy Retail,Supermarket,4,13,12,Ranchi,B,7227.94,5.0,1445.588,209.1,1.0,33.56690578670492,4.0,-7018.839999999999,-4.0,2025-12-30,1,27.0,5.0,12.0,1.0,1.0,18.0,1.0,0.23333333333333334,0.0,0.0,0.0,0.0,7227.94,37923.01,19.059510307857945,7227.94,4_B,5210.49,1.3871900723348476,33.758157715315875,0,0,0,1
4,Behl Traders,Convenience,12,19,53,Ranchi,B,23955.14,6.0,3992.523333333333,6975.9,3.0,2.433985578921716,1.0,-16979.239999999998,-3.0,2025-12-30,1,36.0,5.0,15.0,2.0,2.0,11.0,1.0,0.4666666666666667,0.0,0.0,0.0,0.0,23955.14,41172.7,58.1820963891122,11977.57,12_B,6060.66,3.9525629221899927,2.5351059572194896,0,0,0,1
5,Chanda Traders,Convenience,5,16,42,Delhi,C,1632.33,1.0,1632.33,5236.78,3.0,-0.688295097368994,-0.6666666666666666,3604.45,2.0,2025-12-09,22,14.0,4.0,10.0,3.0,1.0,16.0,0.3333333333333333,0.7000000000000001,0.0,0.0,0.0,0.0,3136.26,21027.97,14.914706460014923,544.11,5_C,1965.2,0.8306177488296356,-0.24138811951485883,0,1,0,1
6,Sampath Supermarket,Supermarket,4,2,60,Ranchi,A,2260.19,1.0,2260.19,40232.18,6.0,-0.9438213390375565,-0.8333333333333334,37971.99,5.0,2025-12-31,0,35.0,5.0,13.0,3.0,2.0,28.0,0.6666666666666666,0.7000000000000001,0.0,0.0,0.0,0.0,9864.28,71349.14,13.825366360407429,753.3966666666666,4_A,22237.399999999998,0.10163913047388635,-1.0127215819835418,0,1,0,1
7,Malhotra Supermarket,Modern Trade,6,31,98,Mumbai,B,5048.18,3.0,1682.7266666666667,2747.3999999999996,2.0,0.8374390332678172,0.5,-2300.7800000000007,-1.0,2025-12-21,10,11.0,5.0,8.0,4.0,1.0,23.5,0.25,0.9333333333333333,0.0,0.0,0.0,0.0,5048.18,33553.42,15.045202545671948,1262.045,6_B,5118.745000000001,0.9862143943486147,1.106728093989428,0,0,0,1
8,Basu Supermarket,Modern Trade,12,10,16,Kolkata,C,922.41,1.0,922.41,0.0,0.0,,,-922.41,-1.0,2025-12-23,8,8.0,5.0,6.0,3.0,2.0,23.0,0.6666666666666666,0.7000000000000001,0.0,0.0,0.0,0.0,922.41,17527.04,5.262782534871832,307.46999999999997,12_C,1525.54,0.6046449126211046,,0,0,0,1
9,Aggarwal General Store,Pharmacy,5,22,71,Lucknow,A,25552.879999999997,4.0,6388.219999999999,5695.48,2.0,3.486519134471546,1.0,-19857.399999999998,-2.0,2025-12-30,1,29.0,5.0,11.0,5.0,4.0,25.0,0.8,1.1666666666666667,0.0,0.0,0.0,0.0,25552.879999999997,58986.51,43.3198709332015,5110.575999999999,5_A,23936.755,1.0675164616089357,3.4857601624852594,0,0,0,1
10,Nath Retail,Pharmacy,12,10,64,Patna,B,5694.21,3.0,1898.07,9464.6,3.0,-0.3983676013777656,0.0,3770.3900000000003,0.0,2025-12-13,18,28.0,5.0,13.0,1.0,1.0,19.0,1.0,0.23333333333333334,0.0,0.0,0.0,0.0,5694.21,33598.61,16.947754683899124,5694.21,12_B,6060.66,0.9395362881270357,-0.2972472230799922,0,1,0,1
11,De Mart,Convenience,12,19,59,Guwahati,A,16338.96,4.0,4084.74,14462.04,3.0,0.12978252030833812,0.3333333333333333,-1876.9199999999983,-1.0,2025-12-25,6,31.0,5.0,13.0,2.0,1.0,14.0,0.5,0.4666666666666667,0.0,0.0,0.0,0.0,16338.96,63792.92,25.612497437019655,8169.48,12_A,24540.835,0.6657866368442639,6.099870840056698e-05,0,0,0,1
12,Lala Supermarket,Supermarket,12,19,36,Ranchi,B,828.1,1.0,828.1,4857.0199999999995,2.0,-0.8295045109964546,-0.5,4028.9199999999996,1.0,2025-12-21,10,17.0,5.0,11.0,2.0,2.0,28.5,1.0,0.4666666666666667,0.0,0.0,0.0,0.0,828.1,41704.82,1.9856218058248425,414.05,12_B,6060.66,0.13663528394597288,-0.7283841326986812,0,1,0,1
13,Edwin Traders,Modern Trade,8,36,76,Guwahati,C,0.0,0.0,0.0,2076.05,1.0,-1.0,-1.0,2076.05,1.0,2025-11-10,51,15.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16174.8,0.0,0.0,8_C,1474.47,0.0,-0.4422553310707772,1,1,0,1
14,Sathe Retail,Modern Trade,5,22,71,Ludhiana,B,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2025-10-10,82,8.0,4.0,6.0,1.0,1.0,39.0,1.0,0.23333333333333334,195.0,0.0,183.56923076923076,0.0,0.0,34938.77,0.0,0.0,5_B,6391.82,0.0,,1,0,0,1
15,Sane Traders,Pharmacy,12,10,30,Ranchi,A,5373.78,2.0,2686.89,8112.650000000001,2.0,-0.3376048516822494,0.0,2738.870000000001,0.0,2025-12-19,12,24.0,4.0,10.0,3.0,2.0,16.333333333333332,0.6666666666666666,0.7000000000000001,0.0,0.0,0.0,0.0,5373.78,57659.92,9.319784002475203,1791.26,12_A,24540.835,0.21897298930537612,-0.46732637328218696,0,1,0,1
16,Andra Mart,Convenience,3,23,20,Kochi,C,1953.65,1.0,1953.65,263.92,1.0,6.402432555319794,0.0,-1689.73,0.0,2025-12-23,8,11.0,5.0,9.0,1.0,1.0,35.0,1.0,0.23333333333333334,0.0,0.0,0.0,0.0,1953.65,18665.17,10.466821357640999,1953.65,3_C,1975.87,0.9887543208814346,6.759614345408341,0,0,0,1
17,Choudhury Traders,General Trade,7,28,57,Bengaluru,B,17586.45,6.0,2931.0750000000003,14797.11,4.0,0.1885057284834674,0.5,-2789.34,-2.0,2025-12-31,0,40.0,5.0,14.0,1.0,0.0,33.0,0.0,0.23333333333333334,195.0,0.0,217.04615384615386,0.0,17586.45,34340.96,51.21129403487848,17586.45,7_B,6107.09,2.879677555103986,0.40843375125638337,0,0,0,1
18,Borra Retail,Supermarket,3,23,20,Bengaluru,B,10144.52,2.0,5072.26,4927.22,2.0,1.0588729547290359,0.0,-5217.3,0.0,2025-12-06,25,18.0,5.0,11.0,1.0,1.0,42.0,1.0,0.23333333333333334,195.0,0.0,239.84615384615384,0.0,10144.52,32711.69,31.011910421014633,10144.52,3_B,5507.8,1.8418461091542904,1.298223884025811,0,0,0,1
19,Dixit Retail,Pharmacy,10,32,43,Nashik,B,3883.0,2.0,1941.5,7599.97,4.0,-0.4890769305668312,-0.5,3716.9700000000003,2.0,2025-12-21,10,27.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9312.51,39580.51,23.528019219560335,0.0,10_B,6269.79,0.6193189883552719,-0.31416635056418174,0,1,0,1
20,Banik General Store,Pharmacy,5,16,31,Chandigarh,C,4463.8099999999995,2.0,2231.9049999999997,0.0,0.0,,,-4463.8099999999995,-2.0,2025-12-13,18,9.0,4.0,7.0,1.0,1.0,42.0,1.0,0.23333333333333334,0.0,0.0,0.0,0.0,4463.8099999999995,17874.18,24.9735092742716,4463.8099999999995,5_C,1965.2,2.2714278444941987,,0,0,0,1
21,Pingle General Store,General Trade,7,28,57,Chennai,C,2725.21,1.0,2725.21,1281.8899999999999,2.0,1.1259312421502627,-0.5,-1443.3200000000002,1.0,2025-12-15,16,19.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2725.21,19316.94,14.107876299248225,0.0,7_C,1610.4699999999998,1.6921830273150076,1.5736456274137254,0,0,0,1
22,Divan Supermarket,Pharmacy,4,13,48,Ranchi,A,28288.9,4.0,7072.225,17351.93,4.0,0.6303027962883668,0.0,-10936.970000000001,0.0,2025-12-15,16,38.0,5.0,14.0,3.0,1.0,20.333333333333332,0.3333333333333333,0.7000000000000001,0.0,0.0,0.0,0.0,28288.9,65868.91,42.94727208936659,9429.633333333333,4_A,22237.399999999998,1.272131634093914,0.5614025533423816,0,0,0,1
23,Sani Traders,Convenience,1,17,23,Delhi,C,2577.94,3.0,859.3133333333334,1288.66,1.0,1.0004811199230208,2.0,-1289.28,-2.0,2025-12-24,7,9.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,285.3897435897436,0.0,2577.94,17004.87,15.160010044181464,0.0,1_C,1475.75,1.7468676943926817,1.6270534425345846,0,0,0,1
